$	~[,SI^F][,DOL^R]
ㄣ	~[,EN]
ㄤ	~[,ANG]
ㄥ	~[,ENG]
ㄦ	~[,R^S][,EL][,ER]
ㄧ	~[,E^9][,I][,Y][,YI]
ㄨ	~[,X^6][,U][,W^R][,WU]
ㄩ	~[,U^V][,IU][,YU][,UI^S]
㆒	~[,E^11]
㆓	~[,R^9]
㆔	~[,S^8]
㆕	~[,F^5]
㆖	~[,FE]
㆗	~[,CJ][,CI^V]
㆘	~[,FA]
㆙	~[,QI]
㆚	~[,ZL][,ZZ^V]
㆛	~[,ENB]
㆜	~[,TI^V]
